city,countyName,latitude,longitude,schoolLevel,schoolName,schoolYear,state,street,studentsNumber,zip
Charlotte,Mecklenburg,35.360772,-80.760935,Elementary,Parkside Elementary,2017,NC,2945 Johnston-Oehler Rd,391,28269
Charlotte,Mecklenburg,35.248485,-80.912372,Private,Paw Creek Christian Academy,2018,NC,5110 Tuckaseegee Rd,48,28208
Charlotte,Mecklenburg,35.291096,-80.945218,Elementary,Paw Creek Elementary,2017,NC,1300 Cathey Rd,540,28214
Charlotte,Mecklenburg,35.29507,-80.795681,High,Performance Learning Center,2017,NC,2300 W Sugar Creek Road,231,28262
Charlotte,Mecklenburg,35.16912,-80.803289,Private,Philips Academy,2018,NC,3115 Providence Rd,28,28211
Charlotte,Mecklenburg,35.239231,-80.891683,High,Phillip O Berry Academy of Technology,2017,NC,1430 Alleghany St,1573,28208
Charlotte,Mecklenburg,35.223209,-80.823905,Middle,Piedmont IB Middle,2017,NC,1241 E 10th St,1084,28204
Charlotte,Mecklenburg,35.166169,-80.864008,Elementary,Pinewood Elementary,2017,NC,805 Seneca Pl,487,28210
Charlotte,Mecklenburg,35.173065,-80.731053,Elementary,Piney Grove Elementary,2017,NC,8801 Eaglewind Dr,806,28212
Charlotte,Mecklenburg,35.34828,-80.822591,Elementary,Pioneer Springs Community School,2017,NC,9300 Bob Beatty Rd.,259,28269
Charlotte,Mecklenburg,35.046855,-80.795134,Elementary,Polo Ridge Elementary,2017,NC,11830 Tom Short Rd,1021,28277
Charlotte,Mecklenburg,35.160321,-80.780385,Private,Providence Day School,2018,NC,5800 Sardis Rd,1603,28270
Charlotte,Mecklenburg,35.110344,-80.763887,High,Providence High,2017,NC,1800 Pineville-Matthews Rd,2048,28270
Charlotte,Mecklenburg,35.072778,-80.769808,Elementary,Providence Spring Elementary,2017,NC,10045 Providence Church Ln,932,28277
Charlotte,Mecklenburg,35.113917,-80.854653,Middle,Quail Hollow Middle,2017,NC,2901 Smithfield Church Rd,909,28210
Charlotte,Mecklenburg,35.32318,-80.775761,Elementary,Queen City STEM School,2017,NC,8701 Mallard Creek Rd,380,28262
Charlotte,Mecklenburg,35.299874,-80.840481,Private,R.C. Smith Christian Academy,2018,NC,5901 Statesville Rd,16,28269
