city,countyName,latitude,longitude,schoolLevel,schoolName,schoolYear,state,street,studentsNumber,zip
Huntersville,Mecklenburg,35.399842,-80.92486,Elementary,Barnette Elementary,2017,NC,13659 Beatties Ford Rd,723,28078
Huntersville,Mecklenburg,35.376415,-80.835292,Elementary,Blythe Elementary,2017,NC,12202 Hambright Rd,1068,28078
Huntersville,Mecklenburg,35.440425,-80.899413,Private,Chesterbrook Academy At Birkdale,2018,NC,15115 Norman View Ln,47,28078
Huntersville,Cabarrus,35.44185,-80.759661,Private,Christ The King Catholic High School,2018,NC,2011 Crusader Way,288,28078
Huntersville,Mecklenburg,35.396738,-80.924644,Middle,Francis Bradley Middle,2017,NC,13345 Beatties Ford Rd,1063,28078
Huntersville,Mecklenburg,35.426503,-80.87198,Elementary,Grand Oak Elementary,2017,NC,15410 Stumptown Rd,593,28078
Huntersville,Mecklenburg,35.378392,-80.911004,High,Hopewell High,2017,NC,11530 Beatties Ford Rd,1662,28078
Huntersville,Mecklenburg,35.411572,-80.846933,Elementary,Huntersville Elementary,2017,NC,200 Gilead Rd,815,28078
Huntersville,Mecklenburg,35.376721,-80.838144,Middle,J M Alexander Middle,2017,NC,12010 Hambright Rd,763,28078
Huntersville,Mecklenburg,35.390651,-80.835749,Other,Lake Norman Charter,2017,NC,12435 Old Statesville Road,1605,28078
Huntersville,Mecklenburg,35.350911,-80.889591,Elementary,Long Creek Elementary,2017,NC,9213-A Beatties Ford Rd,472,28078
Huntersville,Mecklenburg,35.372678,-80.834877,High,North Mecklenburg High,2017,NC,11201 Old Statesville Rd,2193,28078
Huntersville,Mecklenburg,35.421636,-80.867788,Private,St Mark Catholic School,2018,NC,14750 Stumptown Rd,710,28078
Huntersville,Mecklenburg,35.41215,-80.872686,Elementary,Torrence Creek Elementary,2017,NC,14550 Ranson Rd,584,28078
Huntersville,Mecklenburg,35.349525,-80.890772,Elementary,Trillium Springs Montessori,2017,NC,9213 Beatties Ford Rd,162,28078
