schoolName,city,countyName,Address,state,latitude,longitude,schoolLevel,studentsNumber,Rating,schoolYear,Source
Albemarle Road Elementary,Charlotte,Mecklenburg,7800 Riding Trail Rd,NC,35.197057,-80.729512,Elementary,1169.0,2,2017,US Census
Albemarle Road Middle,Charlotte,Mecklenburg,6900 Democracy Dr,NC,35.198649,-80.729013,Middle,1158.0,1,2017,US Census
Alexander Graham Middle,Charlotte,Mecklenburg,1800 Runnymede Ln,NC,35.1667,-80.832716,Middle,1422.0,1,2017,US Census
Allenbrook Elementary,Charlotte,Mecklenburg,1430 Allenbrook Dr,NC,35.26175300000001,-80.91503,Elementary,552.0,5,2017,US Census
Ardrey Kell High,Charlotte,Mecklenburg,10220 Ardrey Kell Rd,NC,35.029990000000005,-80.82665,High,2991.0,2,2017,US Census
Aristotle Preparatory Academy,Charlotte,Mecklenburg,8101 Fallsdale Drive,NC,35.3051,-80.952731,Elementary,162.0,1,2017,US Census
Ashley Park PreK-8 School,Charlotte,Mecklenburg,2401 Belfast Dr,NC,35.232655,-80.89067800000002,Elementary,555.0,5,2017,US Census
Bain Elementary,Charlotte,Mecklenburg,11540 Bain School Rd,NC,35.17497,-80.64840600000002,Elementary,925.0,4,2017,US Census
Ballantyne Elementary,Charlotte,Mecklenburg,15425 Scholastic Dr,NC,35.037387,-80.856135,Elementary,866.0,4,2017,US Census
Barringer Academic Center,Charlotte,Mecklenburg,1546 Walton Rd,NC,35.210389,-80.88882199999998,Elementary,593.0,3,2017,US Census
Berewick Elementary,Charlotte,Mecklenburg,5910 Dixie River Rd,NC,35.173896,-80.97883,Elementary,694.0,2,2017,US Census
Berryhill School,Charlotte,Mecklenburg,10501 Windy Grove Rd,NC,35.212826,-80.990472,Elementary,703.0,2,2017,US Census
Beverly Woods Elementary,Charlotte,Mecklenburg,6001 Quail Hollow Rd,NC,35.13142,-80.836803,Elementary,770.0,5,2017,US Census
Billingsville Elementary,Charlotte,Mecklenburg,124 Skyland Ave,NC,35.19641,-80.809579,Elementary,329.0,1,2017,US Census
Bradford Preparatory School,Charlotte,Mecklenburg,2502 Salome Church Rd,NC,35.34506,-80.719291,Other,980.0,1,2017,US Census
Briarwood Elementary,Charlotte,Mecklenburg,1001 Wilann Dr,NC,35.25204799999999,-80.765664,Elementary,721.0,1,2017,US Census
Bruns Avenue Elementary,Charlotte,Mecklenburg,501 S. Bruns Ave,NC,35.239101,-80.86494300000003,Elementary,690.0,1,2017,US Census
Carmel Middle,Charlotte,Mecklenburg,5001 Camilla Dr,NC,35.128885,-80.804439,Middle,1071.0,3,2017,US Census
Cato Middle College High,Charlotte,Mecklenburg,8120 Grier Rd   Suite 171-B,NC,35.264861,-80.73116800000003,High,247.0,1,2017,US Census
Chantilly Montessori,Charlotte,Mecklenburg,701 Briar Creek Rd,NC,35.207741,-80.800349,Elementary,334.0,5,2017,US Census
Charlotte Choice Charter,Charlotte,Mecklenburg,3118 Milton Road,NC,35.23527,-80.736451,Elementary,289.0,1,2017,US Census
Charlotte East Language Academy,Charlotte,Mecklenburg,6108 Wilora Lake Rd,NC,35.20888,-80.747361,Elementary,,4,2017,US Census
Charlotte Engineering Early College-UNCC,Charlotte,Mecklenburg,9000 Robert Snyder Rd,NC,35.308908,-80.744073,High,281.0,1,2017,US Census
Charlotte Lab School,Charlotte,Mecklenburg,301 E 9th Street,NC,35.22912,-80.834801,Elementary,404.0,1,2017,US Census
Charlotte Learning Academy,Charlotte,Mecklenburg,800 Briar Creek Rd.,NC,35.20585999999999,-80.798801,High,260.0,3,2017,US Census
Charlotte Secondary,Charlotte,Mecklenburg,8601 McAlpine Park Dr,NC,35.155052000000005,-80.75104499999998,High,394.0,1,2017,US Census
Clear Creek Elementary,Charlotte,Mecklenburg,13501 Albemarle Rd,NC,35.223754,-80.625159,Elementary,554.0,2,2017,US Census
Cochrane Collegiate Academy,Charlotte,Mecklenburg,6200 Starhaven Dr,NC,35.246492,-80.750138,High,795.0,1,2017,US Census
Collinswood Language Academy,Charlotte,Mecklenburg,4000 Applegate Rd,NC,35.184731,-80.871463,Elementary,763.0,3,2017,US Census
Commonwealth High,Charlotte,Mecklenburg,5112 Central Ave,NC,35.20971,-80.758581,High,217.0,1,2017,US Census
Community House Middle,Charlotte,Mecklenburg,9500 Community House Rd,NC,35.036092,-80.823957,Middle,1783.0,5,2017,US Census
Cotswold IB Elementary,Charlotte,Mecklenburg,300 Greenwich Rd,NC,35.179268,-80.797578,Elementary,814.0,1,2017,US Census
Coulwood STEM Academy,Charlotte,Mecklenburg,500 Kentberry Dr,NC,35.303869,-80.94467399999998,Middle,663.0,1,2017,US Census
Croft Community Elementary,Charlotte,Mecklenburg,4911 Hucks Rd,NC,35.346489,-80.804651,Elementary,571.0,2,2017,US Census
David Cox Road Elementary,Charlotte,Mecklenburg,4215 David Cox Rd,NC,35.336844,-80.800925,Elementary,615.0,1,2017,US Census
Devonshire Elementary,Charlotte,Mecklenburg,6500 Barrington Dr,NC,35.245108,-80.74596899999997,Elementary,633.0,1,2017,US Census
Dilworth Elementary School: Latta Campus,Charlotte,Mecklenburg,405 E. Park Ave,NC,35.211384,-80.851566,Elementary,732.0,4,2017,US Census
Dilworth Elementary School: Sedgefield C,Charlotte,Mecklenburg,715 Hartford Ave,NC,35.190272,-80.86343199999997,Elementary,391.0,1,2017,US Census
Druid Hills Academy,Charlotte,Mecklenburg,2801 Lucena Ave,NC,35.257307,-80.82434599999998,Elementary,565.0,2,2017,US Census
