NPA,Household_Income_2017,Employment_Rate_2017
2,45776,93
3,97294,99
4,156250,100
5,22589,75
6,27381,85
7,243125,98
8,58516,96
9,64107,95
10,30357,95
11,114728,98
12,29404,86
13,42386,98
14,63048,97
15,117169,89
16,44474,92
17,36685,90
18,76489,96
19,91695,98
20,67582,96
21,28750,91
22,49426,89
23,18881,93
24,64417,92
25,104750,97
26,75380,99
27,56861,97
28,83750,98
29,95039,94
30,16367,84
31,135063,96
32,62969,100
33,51597,97
34,43531,83
35,70636,96
36,59792,95
37,31071,75
38,91833,91
39,53895,91
40,39155,84
41,55268,93
42,64922,94
43,95648,97
44,72708,100
45,115023,93
46,34309,89
47,76797,100
48,45952,89
49,60984,93
50,37000,85
51,90938,94
52,25785,86
53,36078,89
54,44725,90
55,110192,89
56,65813,94
57,37708,91
58,41367,97
59,44260,94
60,21189,93
61,55536,86
62,0,76
64,31604,88
65,65156,98
66,38074,93
67,0,96
68,51345,82
69,138194,96
70,27413,96
71,45375,93
72,63611,96
73,62466,81
74,49630,87
75,129205,95
76,90833,89
77,67146,97
78,70642,94
79,34938,94
80,44300,97
81,63015,92
82,75455,98
83,34474,93
84,29821,100
85,20417,83
86,32266,94
87,66908,89
88,37333,79
89,54453,96
90,41667,91
91,47010,99
92,65568,95
93,41507,100
94,32417,81
95,63854,95
96,61568,95
97,73355,93
98,64137,90
99,68194,92
100,33931,94
101,30625,93
102,40375,84
103,40570,93
105,102353,99
106,26011,89
107,33438,99
108,67955,94
109,146458,99
110,57237,93
111,66184,97
112,89000,97
113,61265,87
114,25764,94
115,110179,94
116,60841,91
117,51545,93
118,100139,92
119,51146,91
120,22024,74
121,36365,88
122,0,
123,32051,74
124,27823,83
125,41897,98
126,33162,98
127,32141,89
128,33413,91
129,96667,96
130,115500,98
131,57741,97
132,0,100
133,79196,93
134,31610,85
135,26813,100
136,92531,93
137,56810,89
138,25552,84
139,33075,88
140,49391,91
141,19367,84
142,49495,90
143,76339,85
144,32650,95
145,47031,95
146,63558,91
147,37198,96
148,126250,96
149,78889,98
150,38021,90
151,111951,100
152,66438,97
153,97750,96
154,89947,94
155,52483,93
156,58807,91
157,25875,81
158,44313,84
159,22000,81
160,36403,83
161,34951,100
162,36875,85
