regionname,city,state,metro,countyname,sizerank,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09
28105,Matthews,NC,Charlotte,Mecklenburg,3br,156500,157000,159900,162000,164999.5,165000,164900,165000,165000,152200,139700,139700,135900,135000,135000,141900,149900,149900,149900,149900,146000,150000,149450,149000,158900,168000,160950,149900,154950,152000,165000,163450,149900,154900,172000,177000,175900,183000,185000,193600,199500,184900,179000,175000,175000,189000,189000,169950,167750,169900,169950,179000,183750,180000,184400,175000,179900,174500,174900,172400,165000,175000,179900,179900,180950,207500,210000,199900,199000,209900,209900,199450,208800,199950,209750,205500,213500,205500,214900,219900,215000,214000,215000,229950,235000,242400,250000,267450,259000,258000,249500,250000,240000
28213,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,140000,149272,143500,150000,140195,146245,147490,145400,139900,142490,148000,143000,142995,143000,142990,144900,142900,145000,145000,143445,150600,149900,150600,152472.5,153995,154495,155000,155000,149950,155000,158400,162695,152500,152500,155000,149000,155000,159900,169000,169000,160000,159900,150000,159700,154900,142500,149900,155900,155900,162500,169900,169900
28212,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,99000,106900,119250,109950,106000,112500,115000,111675,114400,114999.5,111000,104000,102500,102500,115900,115000,114900,119900,122900,126000,120950,124900,119750,122450,126000,119500,128450,129000,130000,125000,130000,131750,125000,135750,134950,139900,139900,135000,141250,144900,145787,169950,175000,175000,169945,170000
28273,Charlotte,NC,Charlotte,Mecklenburg,3br,139900,139900,139990,137000,139765,138000,141900,140700,139900,125100,119250,118500,116950,117700,118000,109950,104950,111900,110000,120000,111000,107900,107450,114900,119900,118500,118250,116450,114838.5,114900,114000,112000,109000,114400,130000,133900,130000,139900,139900,141990,148000,143900,146500,154000,149900,149900,145800,149900,149900,155000,151250,149250,145000,155000,159450,155950,155000,158815,159500,156132.5,158750,159945,159500,155000,162350,169000,169900,169900,163050,164900,157700,156950,158450,163500,165000,174950,179900,179900,181565,185000,184980,183375,187995,185000,179500,182795,189500,189900,192500,192500,193950,193950,199900
28214,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120900,118844,123900,125950,128400,126707.5,126445,127434,129900,130000,129900,129995,129945,129900,126400,131400,129900,129400,129900,126400,129950,129949,132700,129900,129949,129900,134900,133900,139000,144900,144950,140495,139900,129950,132900,131000,134500,128490,128990,139900,140000,156250,157900,160000,160000,159900,159900
28269,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,132000,130500,139900,144900,148900,140000,139950,142000,143900,145000,144500,145000,139950,137990,144250,149900,150000,150000,149000,146000,140000,144900,136950,129900,134500,140490,140000,147000,152000,159000,159900,155000,158950,154000,149700,154900,149750,150000,159900,159900,156250,165000,169900,161950,169900,165000,169000,169900,162500,173785,174900,176450,180000,186000,184950,184000,184900
28031,Cornelius,NC,Charlotte,Mecklenburg,3br,229200,225000,225000,225000,226500,225000,225000,224950,224900,211375,199000,199000,199997,195000,199900,198750,199999,219500,210900,218000,199870,199900,199900,210000,226500,245450,224945,219950,220000,214900,214900,211142.5,216990,224300,229900,225000,228745,232515,242495,239900,244900,240000,239900,235245,245000,235000,245000,249950,246450,249380,259900,249900,245000,249380,249190,248900,239770,249900,242900,251467.5,259900,252290,259900,260000,274950,268500,265000,259950,260000,275000,279000,296995,319450,325000,309900,327000,322495,339900,325000,324900,339500,339500,347000,349000,339500,339500,340000,349450,342000,329900,320000,329900,330445
28211,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349950,372450,375000,375000,362199.5,359900,369900,372450,388000,385000,387450,387450,421450,427450,425000,492000,457500,437450,424750,405000,407500,399900,412450,370000,412450,439000,460000,489950,445000,435000,427500
28270,Charlotte,NC,Charlotte,Mecklenburg,3br,209000,209000,206000,200000,200000,199900,197500,199450,199900,189900,189900,180000,177200,179000,174900,175000,179900,179900,179900,188500,185250,189450,185000,182450,186250,189500,184425,189000,199000,195000,189900,189700,189000,205000,223155,227673,230900,233900,243800,230000,229000,239900,246400,239900,250000,241000,235000,235000,238500,222450,244900,244945,244990,239900,249900,229900,215000,215000,217500,238000,229375,238000,280000,279000,262200,254500,250000,250000,241450,227450,219900,226950,228500,229000,237000,244500,249900,249900,275000,279900,274900,269900,274900,269900,274900,283000,274900,289900,284000,288000,278950,279900,306950
28078,Huntersville,NC,Charlotte,Mecklenburg,3br,207000,200000,205000,204999,204999,209000,206500,202650,199900,196900,189250,184900,185000,182900,180000,183900,181847.5,183580,180900,182500,179000,179000,174900,174770.5,180000,180000,184900,180000,179990,178200,175000,178400,175000,180200,194900,194900,189900,198300,200000,204950,207400,216000,210000,210000,209999,199995,201990,209999,210000,215000,217750,213450,212000,214000,215000,221500,219850,220000,203000,209900,205000,212600,215000,220000,218900,225000,220000,218900,224500,225000,222450,219900,245000,235900,246500,244900,244250,245000,249000,251250,259685,259900,250250,259342.5,254499,242900,244900,250000,265000,269000,265000,271200,275000
