regionname,city,state,metro,countyname,sizerank,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09
28262,Charlotte,NC,Charlotte,Mecklenburg,sfr,144900,146000,144900,143900,139876,143200,143900,143900,140000,131990,124200,119900,120000,120000,125000,127900,130000,132490,125000,123900,118250,115000,114900,115000,115000,115000,119900,114900,113000,114900,120000,120000,125000,125450,141240,139950,140990,149999.5,150000,149700,148627.5,156990,148782.5,149900,150370,149990,148775,150037.5,149900,149950,145000,145000,147900,154900,156334,152509,143770,149450,145990,147995,149900,150000,150000,164990,174945,179900,181612.5,177000,178000,172793,163000,164000,149950,155500,164900,169900,175000,177500,175000,175000,179900,179500,184472.5,189950,190000,190000,199900,199949.5,199900,194500,184900,195000,198862
28226,Charlotte,NC,Charlotte,Mecklenburg,sfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369450,372450,375000,385000,375000,357000,349900,349000,349000,350000,355000,374950,358950,362400,350000,355000,345000,350000,350000,357000,357000,375000,350000,365000,350000,389500,369900,399000,389900,419000,445000,445000,449900,467000,474950,465000,483500,460000,470000,497000,495000,485000,462400,459900,459900,449950,419000,439950,467945,461200,471445,525000,499950,499000,475000,469900,484688.5
28105,Matthews,NC,Charlotte,Mecklenburg,sfr,219000,209950,206700,214750,214900,213450,200000,199900,199900,189900,175000,174900,170000,169900,174900,179000,179900,189450,189950,185000,183450,184000,179900,179900,195500,196500,189900,182000,189000,189000,196500,194900,188000,194000,219900,216117.5,219900,224000,225200,239700,247750,239900,229450,229900,225000,234945,225000,220000,199900,214950,229900,225000,229900,235495,238000,229900,232500,239450,235000,229000,228950,239900,249900,250000,265000,265000,255000,244900,240000,250000,259999,257949.5,264950,265000,276000,279450,279000,269950,274999,279900,284900,279950,286750,288500,294750,297000,299999,309500,304700,312450,299950,300000,295000
28213,Charlotte,NC,Charlotte,Mecklenburg,sfr,,,,,,,,,,124900,119900,112500,115000,104900,114900,116000,119450,119900,118500,119900,109900,108450,109900,105000,113900,109900,114000,109900,114900,114950,119900,119900,124425,120000,135500,131900,141995,141990,129950,135000,141995,145245,150000,151240,162853,155195,159900,162978,159100,149195,155200,159000,159245,161900,163900,164990,163990,165990,165490,160945,164995,170990,170990,169900,169000,169900,169000,162400,163695,160900,171990,170200,174900,155000,155000,165450,162200,167575,165000,170000,175000,171000,164575,155000,157650,155000,142500,149900,155900,156500,166075,170000,170000
28212,Charlotte,NC,Charlotte,Mecklenburg,sfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99925,99450,104950,105000,114900,109900,107750,117400,119900,117400,118000,118000,114949.5,109950,104900,102750,109900,114900,114900,119950,127500,129000,124900,125950,121000,127900,127700,124000,129900,129900,129500,130000,130000,137500,132500,139900,138000,149700,142400,135000,141250,142500,157500,167449.5,175000,177350,175450,179900
28269,Charlotte,NC,Charlotte,Mecklenburg,sfr,145600,143900,144900,147450,149000,145000,143950,145000,149900,131570,124950,120945,119900,119000,123250,123395,129000,132900,132900,130000,124900,123200,119900,119900,134849,132500,129900,125000,125000,124900,124900,124987,124900,124987,145000,145000,149000,148500,150000,155000,155000,155000,159700,159900,159900,164388.5,159900,160000,159990,159990,165000,165000,170000,172250,169900,164499,159200,159900,155000,150000,150000,159990,165000,167900,169995,175000,182000,179000,175000,172000,171900,175000,174490,174900,185000,190000,198750,199900,198900,195000,198000,199900,195700,189900,180000,187500,192000,210000,213000,225000,220000,214900,209900
28273,Charlotte,NC,Charlotte,Mecklenburg,sfr,142900,142500,144000,139900,136900,139995,134900,134900,141500,128283,121200,119900,117400,118900,120000,118000,115000,122800,127000,127900,124900,119900,110000,107000,119900,124000,124500,118250,114950,116000,117000,115000,109500,114900,134925,135000,132000,146000,140000,145000,149900,144400,149900,155000,150000,150000,149900,154900,156450,162500,159967,154450,159450,169900,167750,170500,173000,173000,168250,161200,163700,164900,159945,159900,176950,186000,187000,185750,179000,184000,179000,180000,182500,175000,168700,175000,181949.5,183999.5,185000,189900,185000,182747.5,190300,190500,190950,195000,199250,199900,209995,210000,200000,199999,218500
28214,Charlotte,NC,Charlotte,Mecklenburg,sfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,135000,128900,131900,138155,135900,138500,144900,145900,144950,143892.5,143000,144000,142150,139900,149650,145990,145900,149999.5,138150,144900,140000,140980,139900,139900,139950,155000,139490,144900,159500,156000,150900,154900,153000,150000,150000,151786.5,149000,144950,151990,155000,176500,179900,179995,180000,179900,178950
28031,Cornelius,NC,Charlotte,Mecklenburg,sfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399950,415000,393000,392450,392000,387800,390900,403350,429000,448900,459450,455043.5,432600,424900,424900,415000,424900,411900,424450,398900,399999,419700,449060,442000,425000,418250,410909.5,420322
28211,Charlotte,NC,Charlotte,Mecklenburg,sfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000,663803,663803,659000,664401.5,649000,599000,585000,569000,559000,559000,575000,595000,659000,670000,649950,599000,556445,555672.5
